TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
NCP COATINGS LLC,49120NLSCH225FO,2024,26021021000,"22,316",0,81,0,0,84,49120,225 FORT ST,"NILES, MI","BERRIEN, MI",41.8125525,-86.2560034,Certain glycol ethers (N230),325 Chemicals,325510 Paint and Coating Manufacturing,NCP INTERMEDIATE HOLDINGS INC,"5,606.00","1,095.00",0.00,0.00,"4,511.00","14,316.00","1,099,300",1
ARKEMA INC,49507PLYMR1415S,2024,26081003800,"130,521",81,5,83,95,98,49507,1415 STEELE AVE SW,"GRAND RAPIDS, MI","KENT, MI",42.9387233,-85.67574584,Xylene (mixed isomers) (1330-20-7),325 Chemicals,325211 Plastics Material and Resin Manufacturing,ARKEMA DELAWARE INC,"5,599.00","5,599.00",0.00,0.00,0.00,"62,342.00","195,965",0
FORD MOTOR CO MICHIGAN ASSEMBLY PLANT,48184FRDMT38303,2024,26163566700,"67,978",14,15,80,62,67,48184,38303 MICHIGAN AVE,"WAYNE, MI","WAYNE, MI",42.27796988,-83.41395208,Certain glycol ethers (N230),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FORD MOTOR CO,"5,581.00","5,445.00",0.00,0.00,136.00,"45,051.00","1,007,300",0
PLASTIC PLATE INC. - KRAFT PLATER,4951WPLSTC5675K,2024,26081012203,"9,692",44,55,41,0,12,49512,5675 KRAFT AVE,"KENTWOOD, MI","KENT, MI",42.8607181,-85.5279897,Nickel compounds (N495),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",LACKS ENTERPRISES INC,"5,576.00",23.00,0.00,0.00,"5,553.00","64,753.00","5,154,993,003",0
MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,48217MRTHN1300S,2024,26163524500,"94,854",0,35,0,0,0,48217,1300 S FORT ST HES DEPT,"DETROIT, MI","WAYNE, MI",42.28071629,-83.15192609,Ethylene (74-85-1),324 Petroleum Products,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,"5,560.00","5,560.00",0.00,0.00,0.00,"26,164,148.00","3,114",0
MACDERMID INC,48220MCDRM1221F,2024,26125173600,"148,892",15,29,26,0,39,48220,1221 FARROW AVE,"FERNDALE, MI","OAKLAND, MI",42.4572589,-83.1182239,Zinc compounds (N982),325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,ELEMENT SOLUTIONS INC,"5,542.44",39.47,0.00,0.00,"5,502.97","5,542.44","549,541",0
MICHIGAN METAL COATINGS,48060STVNS2015D,2024,26147620000,"30,088",0,0,0,0,0,48060,2015 DOVE ST,"PORT HURON, MI","ST. CLAIR, MI",42.95192632,-82.44889921,Methanol (67-56-1),332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",MMC SYSTEMS,"5,527.00","5,527.00",0.00,0.00,0.00,"26,090.00",995,0
CADON PLATING CO.,48192CDNPL3715E,2024,26163580900,"81,534",41,69,0,0,58,48192,3715 11TH ST,"WYANDOTTE, MI","WAYNE, MI",42.19503228,-83.16620271,Zinc compounds (N982),332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",NA,"5,522.00",0.00,0.00,0.00,"5,522.00","5,522.00","534,407",0
FLAT ROCK ASSEMBLY PLANT,48134MZDMT1MAZD,2024,26163982000,"48,834",0,0,0,0,0,48134,1 INTERNATIONAL DR,"FLAT ROCK, MI","WAYNE, MI",42.10296609,-83.2436186,Nitrate compounds (water dissociable) (N511),336 Transportation Equipment,336370 Motor Vehicle Metal Stamping,FORD MOTOR CO,"5,500.00",0.00,0.00,0.00,"5,500.00","44,500.00","3,465",0
FCA US JEFFERSON NORTH ASSEMBLY PLANT,48215CHRYL2101C,2024,26163985200,"102,064",0,0,0,0,0,48215,2101 CONNOR AVE,"DETROIT, MI","WAYNE, MI",42.37535016,-82.96247701,n-Butyl alcohol (71-36-3),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FCA US LLC,"5,473.00","5,420.00",0.00,0.00,53.00,"54,592.10","54,730",0
NCP COATINGS LLC,49120NLSCH225FO,2024,26021021000,"22,316",0,81,0,0,84,49120,225 FORT ST,"NILES, MI","BERRIEN, MI",41.8125525,-86.2560034,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,325510 Paint and Coating Manufacturing,NCP INTERMEDIATE HOLDINGS INC,"5,452.00",766.00,0.00,0.00,"4,686.00","18,865.00","513,028",1
ALLOY RESOURCE CORP,4944WLLYRS2281P,2024,26121000402,-,32,25,94,0,82,49442,2281 PORT CITY BLVD,"MUSKEGON, MI","MUSKEGON, MI",43.21468341,-86.19592015,Nickel (7440-02-0),331 Primary Metals,331314 Secondary Smelting and Alloying of Aluminum,PACE INDUSTRIES LLC,"5,338.24",212.97,0.00,0.00,"5,125.27","5,338.24","4,964,563,200",0
GERBER PRODUCTS CO,49412GRBRP405ST,2024,26123970500,"6,773",70,92,81,0,63,49412,405 STATE ST,"FREMONT, MI","NEWAYGO, MI",43.46944279,-85.95487563,Nitrate compounds (water dissociable) (N511),311 Food,311422 Specialty Canning,NESTLE USA INC,"5,330.00",0.00,0.00,"5,330.00",0.00,"66,871.00","3,358",0
LEXAMAR CORP,49712LXMRC100LE,2024,26029001300,"5,195",55,81,45,63,41,49712,100 LEXAMAR DR,"BOYNE CITY, MI","CHARLEVOIX, MI",45.20542862,-84.9871016,Xylene (mixed isomers) (1330-20-7),326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,MAGNA US HOLDING INC,"5,298.00",589.00,0.00,0.00,"4,709.00","52,985.00","185,430",0
LOUISIANA-PACIFIC SAGOLA OSB,49881LSNPCHWYM9,2024,26043950100,159,65,88,68,0,53,49811,N8504 M-95,"SAGOLA, MI","DICKINSON, MI",46.01199111,-88.06104416,Acetaldehyde (75-07-0),321 Wood Products,321219 Reconstituted Wood Product Manufacturing,LOUISIANA PACIFIC CORP,"5,266.00","5,266.00",0.00,0.00,0.00,"38,828.00","41,601,400",0
PHARMACIA & UPJOHN CO LLC A SUBSIDIARY OF PFIZER INC,49001THPJH7171P,2024,26077001905,"31,983",66,12,0,69,34,49002,7171 PORTAGE RD,"PORTAGE, MI","KALAMAZOO, MI",42.21133108,-85.55988021,Ammonia (7664-41-7),325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,PFIZER INC,"5,227.00","5,080.00",0.00,0.00,147.00,"26,310.00","35,560",0
NUTRITION & BIOSCIENCES USA 1 LLC MIDLAND,4864WNTRTN34SSB,2024,26111290600,"27,335",74,14,85,0,68,48640,3400 S SAGINAW RD,"MIDLAND, MI","MIDLAND, MI",43.60102204,-84.20774568,Methanol (67-56-1),325 Chemicals,325211 Plastics Material and Resin Manufacturing,INTERNATIONAL FLAVORS & FRAGRANCES INC,"5,206.00","5,206.00",0.00,0.00,0.00,"3,294,568.00",937,0
EAST JORDAN FOUNDRY LLC,4973WSTJRD2675B,2024,26009960200,447,41,78,56,0,38,49730,2675 N US HIGHWAY 131,"ELMIRA, MI","ANTRIM, MI",45.06963685,-84.8979168,Nickel compounds (N495),331 Primary Metals,331511 Iron Foundries,EJ AMERICAS LLC,"5,191.83",23.29,0.00,0.00,"5,168.54","14,380.16","4,828,401,900",0
KENDRICK PLASTICS,49512TSTYL5050K,2024,26081012203,"14,633",44,55,41,0,12,49512,5050 KENDRICK ST SE,"GRAND RAPIDS, MI","KENT, MI",42.87262317,-85.54307685,Toluene (108-88-3),336 Transportation Equipment,336360 Motor Vehicle Seating and Interior Trim Manufacturing,NA,"5,183.00","5,183.00",0.00,0.00,0.00,"157,703.60","3,628",1
MICHIGAN SEAMLESS TUBE LLC,48178QNXMC400MC,2024,26125139202,"24,586",52,82,0,0,24,48178,400 MCMUNN ST,"SOUTH LYON, MI","OAKLAND, MI",42.45817495,-83.65631026,Zinc compounds (N982),331 Primary Metals,331210 Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,SPECIALTY STEEL WORKS INC,"5,179.01",44.01,129.00,0.00,"5,006.00","5,179.01","505,427",0
FORD MOTOR CO MICHIGAN ASSEMBLY PLANT,48184FRDMT38303,2024,26163566700,"67,978",14,15,80,62,67,48184,38303 MICHIGAN AVE,"WAYNE, MI","WAYNE, MI",42.27796988,-83.41395208,Manganese compounds (N450),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FORD MOTOR CO,"5,145.30",0.30,0.00,0.00,"5,145.00","5,145.30","61,203,920",0
PACKAGING CORP OF AMERICA,49634PCKGN2245U,2024,26101000700,"8,480",42,83,67,0,64,49634,2246 UDELL ST,"FILER CITY, MI","MANISTEE, MI",44.247547,-86.318539,Toluene (108-88-3),322 Paper,322120 Paper Mills,PACKAGING CORP OF AMERICA,"5,131.08","5,130.53",0.54,0.00,0.01,"62,200.76","3,599",0
THE DOW CHEMICAL CO,48667THDWCMICHI,2024,26111290600,"25,530",74,14,85,0,68,48667,1790 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,Propylene (115-07-1),325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,"5,130.00","5,130.00",0.00,0.00,0.00,"170,132.00","6,156",0
DAYTON LAMINA CORP,49615LMNNC1000F,2024,26009960401,"2,444",46,84,40,0,13,49615,3650 S DERENZY RD,"BELLAIRE, MI","ANTRIM, MI",44.98078046,-85.19323818,Copper compounds (N100),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",DAYTON LAMINA CORP,"5,087.00",30.00,0.00,0.00,"5,057.00","5,087.00","7,630,500",0
DFA DAIRY BRANDS FLUID LLC DBA: COUNTRY FRESH,49518CNTRY2555B,2024,26081013600,"124,983",44,8,57,0,65,49548,2555 BUCHANAN AVE SW,"GRAND RAPIDS, MI","KENT, MI",42.91709253,-85.67120219,Nitrate compounds (water dissociable) (N511),311 Food,311511 Fluid Milk Manufacturing,DAIRY FARMERS OF AMERICA INC,"5,050.00",5.00,0.00,0.00,"5,045.00","50,455.00","3,182",0
L & L PRODUCTS INC.,48065LLPRD160MC,2024,26099206700,"9,723",0,0,0,0,0,48065,160 MCLEAN DR,"ROMEO, MI","MACOMB, MI",42.8176699,-82.98200412,Zinc compounds (N982),326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,L & L PRODUCTS,"5,035.00",5.00,0.00,0.00,"5,030.00","5,035.00","503,500",0
DICASTAL N.A. INC,4883WDCSTL1DICA,2024,26117971200,"10,751",57,64,0,0,41,48838,1 DICASTAL DRIVE,"GREENVILLE, MI","MONTCALM, MI",43.19809171,-85.23659512,Nitric acid (7697-37-2),331 Primary Metals,331523 Nonferrous Metal Die-Casting Foundries,NA,"5,027.06",0.00,0.00,0.00,"5,027.06","37,601.06","1,357,306",0
THE ANDERSONS MARATHON HOLDINGS LLC - ALBION FACILITY,49224NDRSN2625B,2024,26025003600,"9,110",56,64,26,0,89,49224,26250 B DR N,"ALBION, MI","CALHOUN, MI",42.26143646,-84.79500403,Acrolein (107-02-8),325 Chemicals,325193 Ethyl Alcohol Manufacturing,THE ANDERSONS INC,"5,005.00","5,005.00",0.00,0.00,0.00,"104,005.00","900,900,000",0
REQUEST FOODS GREENLY STREET PLANT,4942WRQSTF12875,2024,26139023102,"33,200",68,36,0,0,64,49424,12875 GREENLY ST.,"HOLLAND, MI","OTTAWA, MI",42.83374041,-86.10036851,Ammonia (7664-41-7),311 Food,311412 Frozen Specialty Food Manufacturing,REQUEST FOODS INC,"5,000.00","5,000.00",0.00,0.00,0.00,"5,000.00","35,000",0
REQUEST FOODS INC,49424RQSTF3460J,2024,26139023102,"33,498",19,51,29,83,0,49424,3460 JOHN F DONNELLY DR,"HOLLAND, MI","OTTAWA, MI",42.83060658,-86.10438201,Ammonia (7664-41-7),311 Food,311412 Frozen Specialty Food Manufacturing,NA,"5,000.00","5,000.00",0.00,0.00,0.00,"5,000.00","35,000",0
EAST JORDAN FOUNDRY LLC,4973WSTJRD2675B,2024,26009960200,447,41,78,56,0,38,49730,2675 N US HIGHWAY 131,"ELMIRA, MI","ANTRIM, MI",45.06963685,-84.8979168,Manganese compounds (N450),331 Primary Metals,331511 Iron Foundries,EJ AMERICAS LLC,"4,953.43",93.75,0.00,0.00,"4,859.68","12,843.23","59,441,160",0
DDP SPECIALTY ELECTRONIC MATERIALS US LLC,4864WDDPSP34SSA,2024,26111290600,"29,731",74,14,85,0,68,48640,3400 S SAGINAW RD - UNIT 96,"MIDLAND, MI","MIDLAND, MI",43.60102204,-84.20774568,Dichloromethane (75-09-2),325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,DUPONT DE NEMOURS INC,"4,916.00","4,916.00",0.00,0.00,0.00,"17,404.50","176,976",0
ATMOSPHERE HEAT TREATING,48393TMSPH30760,2024,26125133102,"30,469",0,0,0,0,0,48393,30760 CENTURY DR,"WIXOM, MI","OAKLAND, MI",42.51851697,-83.54868183,Sodium nitrite (7632-00-0),332 Fabricated Metals,332811 Metal Heat Treating,ATMOSPHERE HEAT TREATING,"4,856.00","3,605.00",0.00,0.00,"1,251.00","349,356.00","48,560",0
REAL ALLOY RECYCLING LLC,49036MCRCY267NO,2024,26023951600,"12,956",83,35,63,66,40,49036,267 N FILLMORE RD,"COLDWATER, MI","BRANCH, MI",41.92249326,-85.02338943,Zinc compounds (N982),331 Primary Metals,331314 Secondary Smelting and Alloying of Aluminum,REAL ALLOY HOLDING LLC,"4,855.00",397.00,0.00,0.00,"4,458.00","4,855.00","485,500",0
ESSEX SPECIALTY PRODUCTS LLC - HILLSDALE SITE,49242SSXSP190UR,2024,26059050500,"9,677",58,58,86,0,77,49242,190 URAN ST,"HILLSDALE, MI","HILLSDALE, MI",41.93728734,-84.65038344,Toluene (108-88-3),325 Chemicals,325520 Adhesive Manufacturing,DUPONT DE NEMOURS INC,"4,847.00",5.00,0.00,0.00,"4,842.00","5,461.00","62,950",0
NCP COATINGS LLC,49120NLSCH225FO,2024,26021021000,"22,316",0,81,0,0,84,49120,225 FORT ST,"NILES, MI","BERRIEN, MI",41.8125525,-86.2560034,Zinc (fume or dust) (7440-66-6),325 Chemicals,325510 Paint and Coating Manufacturing,NCP INTERMEDIATE HOLDINGS INC,"4,840.00",0.00,0.00,0.00,"4,840.00","4,840.00","484,000",1
HASTINGS FIBERGLASS PRODUCTS,4905WHSTNG131WG,2024,26015011402,"10,632",32,95,65,0,54,49058,1301 W GREEN ST,"HASTINGS, MI","BARRY, MI",42.64407379,-85.31414725,Styrene (100-42-5),326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,NA,"4,819.40","4,819.40",0.00,0.00,0.00,"4,819.40","16,868",1
LOUISIANA PACIFIC CORPORATION-NEWBERRY,49868LSNPC461MI,2024,26095960100,"3,224",22,42,95,0,54,49868,7299 N C.R. 403,"NEWBERRY, MI","LUCE, MI",46.33664546,-85.48893064,Formaldehyde (50-00-0),321 Wood Products,321219 Reconstituted Wood Product Manufacturing,LOUISIANA PACIFIC CORP,"4,814.00","4,814.00",0.00,0.00,0.00,"102,936.00","187,746,000",0
CWC TEXTRON,49441CWCCS2672H,2024,26121002100,"54,742",91,73,32,0,51,49441,1085 W SHERMAN BLVD,"MUSKEGON, MI","MUSKEGON, MI",43.2052961,-86.26983158,Manganese (7439-96-5),331 Primary Metals,331511 Iron Foundries,TEXTRON INC,"4,806.21",434.22,0.00,0.00,"4,371.99","300,148.21","57,674,568",0
VENTRA IONIA PAINT LLC,48846MRDNT719WM,2024,26067031700,"11,961",92,8,42,0,85,48846,719 W MAIN ST,"IONIA, MI","IONIA, MI",42.98181438,-85.07421665,"1,2,4-Trimethylbenzene (95-63-6)",336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,FLEX-N-GATE CORP,"4,796.45","4,796.45",0.00,0.00,0.00,"33,583.35","278,194",0
MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,48217MRTHN1300S,2024,26163524500,"94,854",0,35,0,0,0,48217,1300 S FORT ST HES DEPT,"DETROIT, MI","WAYNE, MI",42.28071629,-83.15192609,Benzene (71-43-2),324 Petroleum Products,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,"4,781.72","4,530.00",0.00,0.00,251.72,"10,193.00","140,684,600",0
HASTINGS MANUFACTURING CO,49058HSTNG325NO,2024,26015011301,"10,263",17,37,37,0,72,49058,325 N HANOVER ST,"HASTINGS, MI","BARRY, MI",42.65143398,-85.28311673,Chromium compounds (N090),336 Transportation Equipment,336310 Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,NA,"4,757.14",0.31,0.00,0.00,"4,756.83","7,868.14","103,497,294,754",1
LACKS TRIM SYSTEMS - 52ND STREET PAINT CENTRAL,4951WLCKST43155,2024,26081012604,"23,603",90,6,32,78,55,49512,4315 52ND ST SE,"GRAND RAPIDS, MI","KENT, MI",42.86904062,-85.55899954,Chromium compounds (N090),336 Transportation Equipment,336360 Motor Vehicle Seating and Interior Trim Manufacturing,LACKS ENTERPRISES INC,"4,754.30",0.30,0.00,0.00,"4,754.00","4,754.30","100,073,328,800",0
TRINSEO LLC-MI OPERATIONS,4866WSTYRN164BU,2024,26111290700,"31,609",34,73,38,77,47,48667,1604 BUILDING,"MIDLAND, MI","MIDLAND, MI",43.6095201,-84.2393991,Styrene (100-42-5),325 Chemicals,325211 Plastics Material and Resin Manufacturing,TRINSEO US HOLDING INC,"4,736.69","4,736.69",0.00,0.00,0.00,"1,133,824.50","16,578",2
GMVM-LANSING GRAND RIVER ASSEMBLY,48921GMCGL920TO,2024,26065980200,"92,043",0,0,0,0,0,48933,920 TOWNSEND ST MAIL CODE: 489-066-600,"LANSING, MI","INGHAM, MI",42.72375252,-84.55561088,"1,2,4-Trimethylbenzene (95-63-6)",336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,GENERAL MOTORS LLC,"4,710.00","4,710.00",0.00,0.00,0.00,"23,200.00","273,180",0
HEMLOCK SEMICONDUCTOR OPERATIONS LLC,48626HMLCK12334,2024,26145012002,"4,294",28,58,32,0,25,48626,12334 GEDDES RD,"HEMLOCK, MI","SAGINAW, MI",43.43100582,-84.16054841,Hydrochloric acid (acid aerosols) (7647-01-0),327 Nonmetallic Mineral Product,327992 Ground or Treated Mineral and Earth Manufacturing,CORNING INC,"4,704.00","4,704.00",0.00,0.00,0.00,"690,734.00","846,720",0
DTE ELECTRIC CO-BELLE RIVER POWER PLANT,48054DTRTD4505K,2024,26147641000,"5,092",31,81,78,0,49,48054,4505 KING RD,"CHINA TOWNSHIP, MI","ST. CLAIR, MI",42.77569325,-82.51235737,Hydrogen fluoride (7664-39-3),2211 Electric Utilities,221112 Fossil Fuel Electric Power Generation,DTE ENERGY CO,"4,700.00","4,700.00",0.00,0.00,0.00,"404,700.00","1,175,000",0
WOLVERINE PLATING CORP,48066WLVRN29456,2024,26099255300,"133,853",50,41,74,73,77,48066,29456 GROESBECK HWY,"ROSEVILLE, MI","MACOMB, MI",42.51179845,-82.95561476,Nickel compounds (N495),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",NA,"4,691.00",5.00,0.00,0.00,"4,686.00","4,691.00","4,312,414,914",0
CORTEVA AGRISCIENCE LLC - MIDLAND,4867WDWGRS71WAS,2024,26111290600,"30,090",74,14,85,0,68,48640,701 WASHINGTON ST,"MIDLAND, MI","MIDLAND, MI",43.60532757,-84.21757491,Acetonitrile (75-05-8),325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,CORTEVA INC,"4,669.00","4,669.00",0.00,0.00,0.00,"3,051,169.00","270,802",0
LEXAMAR CORP,49712LXMRC100LE,2024,26029001300,"5,195",55,81,45,63,41,49712,100 LEXAMAR DR,"BOYNE CITY, MI","CHARLEVOIX, MI",45.20542862,-84.9871016,Methyl isobutyl ketone (108-10-1),326 Plastics and Rubber,326199 All Other Plastics Product Manufacturing,MAGNA US HOLDING INC,"4,667.00",34.00,0.00,0.00,"4,633.00","39,490.00","60,270",0
VENTRA IONIA PAINT LLC,48846MRDNT719WM,2024,26067031700,"11,961",92,8,42,0,85,48846,719 W MAIN ST,"IONIA, MI","IONIA, MI",42.98181438,-85.07421665,Xylene (mixed isomers) (1330-20-7),336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,FLEX-N-GATE CORP,"4,621.50","4,621.50",0.00,0.00,0.00,"38,795.23","161,753",0
FINTEX LLC,48174FNTXL89INK,2024,26163583700,"54,495",42,48,95,66,41,48174,8900 INKSTER RD,"ROMULUS, MI","WAYNE, MI",42.24180327,-83.30817142,Nitrate compounds (water dissociable) (N511),332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",NA,"4,617.00",0.00,0.00,0.00,"4,617.00","46,171.00","2,909",0
WORTHEN COATED FABRICS,4950WWRTHN11254,2024,26081004600,"100,003",67,35,79,90,85,49508,1125 41ST ST SE,"GRAND RAPIDS, MI","KENT, MI",42.873395,-85.629405,Toluene (108-88-3),313 Textiles,313320 Fabric Coating Mills,WF HOLDINGS INC,"4,611.00","4,611.00",0.00,0.00,0.00,"344,072.00","3,228",0
AIR PRODUCTS & CHEMICALS INC/DETROIT HYDROGEN FACILITY,48217DTRTS1025S,2024,-,"99,709",-,-,-,-,-,48217,1025 OAKWOOD BLVD,"DETROIT, MI","WAYNE, MI",42.28702436,-83.1555223,Ammonia (7664-41-7),325 Chemicals,325120 Industrial Gas Manufacturing,AIR PRODUCTS & CHEMICALS INC,"4,585.30","4,585.30",0.00,0.00,0.00,"12,671.30","32,097",0
BASF CORP,48192BSFCR1609B,2024,26163580100,"83,157",54,24,35,0,37,481923729,1609 BIDDLE AVE,"WYANDOTTE, MI","WAYNE, MI",42.2177185,-83.15027742,Styrene (100-42-5),325 Chemicals,325211 Plastics Material and Resin Manufacturing,BASF CORP,"4,569.15","2,562.00",0.00,19.30,"1,987.85","1,477,257.30","19,003",0
GENERAL MOTORS LANSING DELTA TOWNSHIP,48917GNRLM85REL,2024,26045020302,"10,044",63,24,60,0,0,48917,8175 MILLETT HWY,"LANSING, MI","EATON, MI",42.69753322,-84.67379564,Nitrate compounds (water dissociable) (N511),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,GENERAL MOTORS LLC,"4,560.10",0.00,0.00,0.00,"4,560.10","45,600.00","2,873",0
DDP SPECIALTY ELECTRONIC MATERIALS US LLC,4864WDDPSP34SSA,2024,26111290600,"29,731",74,14,85,0,68,48640,3400 S SAGINAW RD - UNIT 96,"MIDLAND, MI","MIDLAND, MI",43.60102204,-84.20774568,Certain glycol ethers (N230),325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,DUPONT DE NEMOURS INC,"4,519.00","4,519.00",0.00,0.00,0.00,"18,047.00","813,420",0
BENTELER AUTOMOTIVE HAGEN FACILITY,49548BNTLR3721H,2024,26081014200,"114,648",71,23,48,0,65,49548,3721 HAGEN DR SE,"GRAND RAPIDS, MI","KENT, MI",42.89640721,-85.65701519,Chromium (7440-47-3),336 Transportation Equipment,336390 Other Motor Vehicle Parts Manufacturing,BENTELER AUTOMOTIVE CORP,"4,477.45",447.20,0.00,0.00,"4,030.25","4,477.45","97,207,212,950",0
SEKISUI VOLTEK LLC,49036VLTKD17ALL,2024,26023951600,"13,465",57,63,22,90,50,49036,17 ALLEN AVE,"COLDWATER, MI","BRANCH, MI",41.9352977,-85.0196592,Antimony compounds (N010),325 Chemicals,325991 Custom Compounding of Purchased Resins,SEKISUI AMERICA CORP,"4,435.00",0.00,0.00,0.00,"4,435.00","4,435.00","53,220,000",0
PHARMACIA & UPJOHN CO LLC A SUBSIDIARY OF PFIZER INC,49001THPJH7171P,2024,26077001905,"31,983",66,12,0,69,34,49002,7171 PORTAGE RD,"PORTAGE, MI","KALAMAZOO, MI",42.21133108,-85.55988021,Manganese compounds (N450),325 Chemicals,325412 Pharmaceutical Preparation Manufacturing,PFIZER INC,"4,423.00",0.00,0.00,0.00,"4,423.00","4,423.00","307,240",0
CHEMETALL US INC,4920WCHMTL11TEC,2024,26075005501,"24,746",0,14,40,58,13,49201,1100 TECHNOLOGY DR,"JACKSON, MI","JACKSON, MI",42.27282025,-84.47039049,Nonylphenol Ethoxylates (N535),325 Chemicals,325611 Soap and Other Detergent Manufacturing,BASF CORP,"4,413.85",13.85,0.00,0.00,"4,400.00","4,413.85",0,0
GERDAU MACSTEEL MONROE,48161NRTHS3000E,2024,26115831800,"23,135",0,0,0,0,0,48161,3000 E FRONT ST,"MONROE, MI","MONROE, MI",41.89706191,-83.36151774,Manganese compounds (N450),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,GERDAU USA INC,"4,408.00","4,312.00",96.00,0.00,0.00,"800,931.00","51,744,682",1
GERDAU MACSTEEL MONROE,48161NRTHS3000E,2024,26115831800,"23,135",0,0,0,0,0,48161,3000 E FRONT ST,"MONROE, MI","MONROE, MI",41.89706191,-83.36151774,Chromium compounds (N090),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,GERDAU USA INC,"4,376.40",359.10,7.30,0.00,"4,010.00","82,283.40","8,388,731,130",1
DETROIT ASSEMBLY COMPLEX MACK,4821WDTRTS4STJE,2024,26163514100,"124,212",56,18,98,0,46,48214,4000 ST JEAN ST,"DETROIT, MI","WAYNE, MI",42.37978444,-82.97886412,Certain glycol ethers (N230),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FCA US LLC,"4,373.48","1,863.81",0.00,0.00,"2,509.67","10,255.77","837,420",0
SUPERIOR BRASS & ALUMINUM CASTING CO,48823SPRRB4893D,2024,26065004302,"52,365",0,4,51,84,49,48823,4893 DAWN AVE,"EAST LANSING, MI","INGHAM, MI",42.7232963,-84.45130955,Copper (7440-50-8),331 Primary Metals,331529 Other Nonferrous Metal Foundries (except Die-Casting),NA,"4,357.90",388.10,112.80,0.00,"3,857.00","344,322.90","6,536,850",0
WEYERHAEUSER NR CO,49738WYRHS4111E,2024,26039960500,535,87,73,61,0,82,49738,4111 W FOUR MILE RD,"GRAYLING, MI","CRAWFORD, MI",44.59845162,-84.69108219,Diisocyanates (N120),321 Wood Products,321219 Reconstituted Wood Product Manufacturing,WEYERHAEUSER CO,"4,340.00","1,421.00",0.00,0.00,"2,919.00","7,253.00","1,519,000,000",0
GAGE PRODUCTS CO,48220GGPRD625WA,2024,26125173600,"148,304",15,29,26,0,39,48220,625 WANDA ST,"FERNDALE, MI","OAKLAND, MI",42.45155981,-83.11350414,Methanol (67-56-1),325 Chemicals,325510 Paint and Coating Manufacturing,NA,"4,335.00","4,335.00",0.00,0.00,0.00,"330,752.00",780,0
LACKS TRIM SYSTEMS - 52ND STREET PAINT CENTRAL,4951WLCKST43155,2024,26081012604,"23,603",90,6,32,78,55,49512,4315 52ND ST SE,"GRAND RAPIDS, MI","KENT, MI",42.86904062,-85.55899954,Methyl isobutyl ketone (108-10-1),336 Transportation Equipment,336360 Motor Vehicle Seating and Interior Trim Manufacturing,LACKS ENTERPRISES INC,"4,321.00","4,321.00",0.00,0.00,0.00,"12,384.00","5,185",0
